Headline,Link
Gemini 3.7 Flash (blog.google),https://blog.google/innovation-and-ai/models-and-research/gemini-models/introducing-gemini-3-7-flash/
Bluesky Protocol Services (atproto.com),https://atproto.com/blog/introducing-bluesky-protocol-services
Accelerating GPT-5.6 Sol Ultrafast (cerebras.ai),https://www.cerebras.ai/blog/accelerating-gpt-5-6-sol-ultrafast-with-openai
NP-Overrated (gruhn.me),https://gruhn.me/blog/2026-08-13/
How AI text watermarking works (declaude.org),https://declaude.org/watermarking/
Understanding is the new bottleneck (geoffreylitt.com),https://www.geoffreylitt.com/2026/07/02/understanding-is-the-new-bottleneck
Donkey.bas is 45 Years Old – 131 line of Glory (donkeybas.com),https://donkeybas.com/
DeepSeek Harness developer preview (deepseek.com),https://deepseek.com/harness/en/
Mistral OCR 4.1 (mistral.ai),https://docs.mistral.ai/models/ocr-4-1
"I want extern ""fil-C"" (domenkozar.com)",https://domenkozar.com/2026/08/13/i-want-extern-fil-c/
Choose Boring Technology (2015) (mcfunley.com),https://mcfunley.com/choose-boring-technology
Spaghettifying DRAM (github.com/xoreaxeaxeax),https://github.com/xoreaxeaxeax/skitter-creek-bath-salts
How a device finds encrypted DNS by itself (dundns.eu),https://blog.dundns.eu/posts/ddr-encrypted-dns-discovery/
SparrowMap – Cameras that watch government vehicles (sparrowmap.com),https://sparrowmap.com/
Finite State Machines in Forth (1994) (forth.org),https://www.forth.org/literature/noble.html
How Organizations Use AI: Evidence from ChatGPT [pdf] (cdn.openai.com),https://cdn.openai.com/pdf/how-organizations-use-chatgpt.pdf
"Where did the old web go? We followed 657,607 links to find out (0.mk)",https://0.mk/blog/link-rot
How Gödel's Proof Works (2020) (quantamagazine.org),https://www.quantamagazine.org/how-godels-proof-works-20200714/
How Compaction Works in Pi (earendil.com),https://earendil.com/posts/compaction-in-pi/
An ambiguity in c89 which will never be fixed (sebsite.pw),https://sebsite.pw/w/20260810-c89ambiguity.html
Single log line is 49KB+ (ext4) / 110KB+ (btrfs) of systemd-journald disk writes (github.com/systemd),https://github.com/systemd/systemd/issues/40262
Nine PBS sues Iron Mountain over blocked access to archival data (current.org),https://current.org/2026/08/nine-pbs-sues-iron-mountain-over-blocked-access-to-archival-data/
Smooth Move: Taming Trajectories with Polynomials (zoic.org),https://nick.zoic.org/art/smooth-move-taming-trajectories-with-polynomials/
Compute-Optimal Is Not Cluster-Optimal (szha.ai),https://szha.ai/blog/compute-optimal-is-not-cluster-optimal/
"Hello, me. It's been a while (themech.net)",https://themech.net/2026/08/hello-me-its-been-a-while/
Idol Mahjong Final Romance: A Slideshow Disguised as a Video Game (nicole.express),https://nicole.express/2026/more-like-idle-mahjong.html
Kubernetes on Oxide: How customer needs shaped our integrations (oxide.computer),https://oxide.computer/blog/kubernetes-on-oxide
Launch HN: Bullet (YC S26) – A Faster Coding Agent (codewithbullet.com),https://www.codewithbullet.com
AI At Home Part 1: A Box Of Scraps (jdagostino.github.io),https://jdagostino.github.io/ai-pt1-box-o-scraps/index.html
Ordinary abundance (ordinaryabundance.com),https://ordinaryabundance.com/
